0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:02 +0900] "GET /fin/totalAlarmGet?loginUserNo=22 HTTP/1.1" 200 890
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:02 +0900] "GET /fin/getUserNicks?loginUserNo=22 HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:02 +0900] "GET /fin/getUserNicksFromRoom?loginUserNo=22 HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:02 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=22 HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:02 +0900] "GET /fin/alarmGetFromInvi?loginUserNo=22 HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:02 +0900] "GET /fin/getUserNicksFromReply?loginUserNo=22 HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:02 +0900] "GET /fin/getAlarmCount?loginUserNo=22 HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:02 +0900] "GET /fin/getUserNicksFromLike?loginUserNo=22 HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:02 +0900] "POST /fin/checkRoom HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:05 +0900] "GET /fin/board HTTP/1.1" 200 52324
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:05 +0900] "GET /fin/getUserNo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:05 +0900] "GET /fin/getUserNicks?loginUserNo=22 HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:05 +0900] "GET /fin/getAlarmCount?loginUserNo=22 HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:05 +0900] "GET /fin/alarmGetFromInvi?loginUserNo=22 HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:05 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=22 HTTP/1.1" 200 843
